Title,Price,Subscribers,Reviews,Length,PercentReviewers
Build a Photo Blog with Ruby on Rails,20,2281,32,1.5,1.4
Practical PHP: Master the Basics and Code Dynamic Websites,Free,83737,4598,6.5,5.49
Sass Workflow,Free,20890,945,3.0,4.52
Learn PHP Fundamentals From Scratch,Free,48650,1236,2.0,2.54
XML For Absolute Beginners: Learn to create your own tags,75,1945,58,1.0,2.98
Joomla: Create a Joomla Website This Weekend With NO CODING!,Free,18496,386,2.0,2.09
JavaScript for beginners - A Complete Guide,100,1193,87,10.5,7.29
Laravel Deployment - Launch your Laravel Application Online,Free,4905,101,1.0,2.06
WordPress Development Crash Course: From Zero To Hero,60,1699,8,2.0,0.47
Learn how to create a WordPress theme using Pinegrow,Free,11812,152,2.0,1.29
Learn to Build Web Apps using Laravel Framework,30,746,93,6.5,12.47
Flexbox: The complete guide,35,189,7,1.0,3.7
How to Safely Copy and Move Your WordPress Website,60,1419,38,1.5,2.68
AngularJs :basics for beginners,45,1237,16,1.0,1.29
JSON For Beginners: A Very Basic Introduction,65,1703,27,1.0,1.59
Learn SASS and improve your CSS,55,1849,29,3.0,1.57
Angular Tutorial For Beginners,Free,5397,112,2.5,2.08
HTML and CSS for Absolute Beginners,Free,4410,52,3.0,1.18
"JavaScript, jQuery and Ajax",20,1554,30,4.0,1.93
Laravel Blog Development Starter,Free,4499,138,2.0,3.07
React: Learn ReactJS Fundamentals for Front-End Developers,55,1993,55,4.0,2.76
JavaScript For Absolute Beginners - Level Two,30,424,85,1.0,20.05
How To Create A Real Estate Website With Wordpress 2017,Free,3782,32,1.5,0.85
The Complete HTML5 and CSS3 Course - with 8 Websites Design,30,1551,42,7.5,2.71
Introduction to Modern Programming with PHP,20,954,183,16.0,19.18
HTML Introduction Course: Learn HTML in 2 hours!!!,Free,7304,368,2.0,5.04
Learn HTML & CSS: How To Start Your Web Development Career,Free,15462,689,4.5,4.46
React vs Angular vs Vue.js by Example,Free,6958,132,3.5,1.9
Create WordPress Plugins,50,964,19,2.5,1.97
Build and Deploy a LAMP server on AWS,Free,3571,18,1.0,0.5
Build your own Beautiful Blog in WordPress + SEO,200,2421,6,3.0,0.25
AngularJS Authentication: Secure Your App with Auth0,Free,21689,1080,1.0,4.98
Learn Bootstrap 4 by Example,Free,5542,54,1.0,0.97
Complete WooCommerce Plugin Tutorial For Wordpress 2017,Free,7922,183,1.5,2.31
How To Build And Make A Wordpress Website From Scratch 2017,Free,7055,166,2.0,2.35
Docker for Developers - Newest Version 1.12 with Swarm Mode,95,767,104,5.5,13.56
Angular Material - Quickstart,Free,3766,135,42.0,3.58
HTML and CSS for Beginners - Build a Website & Launch ONLINE,Free,70773,5660,6.0,8.0
"Core: A Web App Reference Guide for Django, Python, and More",195,2497,98,26.0,3.92
"JSON with Java APIs, jQuery and JSON REST Web Services",95,799,87,6.0,10.89
Bootstrap 4 Quick Start: Code Modern Responsive Websites,Free,41478,2104,3.0,5.07
Learn Symfony 3 framework by practical examples,125,867,177,4.0,20.42
"Complete Web Development with HTML, CSS and Javascript",Free,2097,16,2.0,0.76
Web Hosting Introduction: How to Publish Your Website Online,Free,5533,137,1.0,2.48
Django For Beginners,175,534,16,4.0,3.0
Introduction to QGIS Python Programming,85,197,26,3.5,13.2
Learning Object-Oriented JavaScript,75,533,54,3.0,10.13
Bootstrap Tutorial for Beginners,20,1036,27,2.0,2.61
Learn Bootstrap3 With Multi Purposes Single Page Layout,Free,4503,146,21.0,3.24
HTML for Beginners,Free,8592,336,2.5,3.91
How to Build WordPress Themes: A Web Designer's Guide,165,183,30,5.5,16.39
XML DTD :basics for beginners,35,903,3,33.0,0.33
Learn to make an HTML 5 website with a video background,80,1236,18,30.0,1.46
Learn Authentication With ASP.NET Identity Security 2017,50,305,45,2.0,14.75
HTML and CSS Foundations,Free,1544,15,1.0,0.97
Python Web Programming,100,1020,46,6.0,4.51
Build a Complete Registration and Login System using PHP MVC,80,325,50,5.0,15.38
ES6 / EcmaScript 6 for beginners an introduction,Free,3227,19,2.0,0.59
React for visual learners,20,659,64,3.5,9.71
Learn to Create Advance Responsive Websites With Bootstrap,20,2528,15,2.0,0.59
Master the Art of Web Design with HTML & CSS,145,550,15,3.0,2.73
Sell Courses On Your Own Website - No Coding Required!,100,1032,9,1.0,0.87
Implementing a Data Warehouse with SQL Server 2012 ,85,1142,148,5.0,12.96
Learning 200 jQuery Functions with 800 Examples,195,1766,38,18.5,2.15
Create Complete Web Applications easily with APEX 5,30,912,128,7.0,14.04
"Learn Gulp, The Streaming Build System",25,1305,38,1.5,2.91
Perfect React JS Course - Understand Relevant Details,200,653,20,1.0,3.06
Create a classified website in 2 hours - guaranteed,50,3411,84,1.0,2.46
Learn HTML And CSS From Scratch,Free,11533,240,2.0,2.08
Become a Certified Web Developer - Beginner to Expert,200,3397,12,8.0,0.35
Complete Bootstrap 4 course - build 3 projects,Free,7865,241,5.0,3.06
Up and Running with Phalcon,20,715,12,1.5,1.68
HTML : HTML Awesomeness,25,988,23,38.0,2.33
Build CRUD Application - PHP & Mysql,Free,4405,71,1.5,1.61
All You Need To Know About AngularJS - Training On AngularJS,50,1936,88,5.0,4.55
PSD To a Creative Landing Page Using Twitter Bootstrap 3,Free,11666,546,4.0,4.68
Ready for Production with Spring Boot Actuator,55,361,26,2.5,7.2
AngularJS For Beginners,Free,30531,1948,3.0,6.38
Learning Path: Akka: Building Applications and Microservices,200,88,8,4.5,9.09
Set up a localhost Web Server for Faster Website Development,30,55,13,1.5,23.64
Mastering Meteor: Reactive Full Stack JavaScript,95,494,46,3.0,9.31
Build A Professional Wordpress Website In An Hour,20,1294,11,1.0,0.85
Build a file hosting/sharing site in less than 2 hours ,20,976,29,1.5,2.97
Introduction to Java Programming for Online Learners,200,1586,87,22.0,5.49
Create full featured Landing Page in Ruby on Rails in 3 hour,30,1550,15,3.0,0.97
How to create a  video blog with WordPress,25,1209,8,4.5,0.66
PHP For WordPress Development,35,850,12,1.0,1.41
Create a Professional Website Without Programming/Coding,Free,5421,93,1.5,1.72
How to Build an Autocomplete System Like Google,30,255,5,1.0,1.96
Master EmberJS : Learn Ember JS From Scratch,120,707,59,6.5,8.35
How To Make A Modern Wordpress BLOG 2017! Create Your Blog!,Free,6856,137,2.0,2.0
Learn Top Ten PHP FrameWorks By Building Projects,60,1007,96,17.5,9.53
How to Make a Video Blog Website From Scratch w/ Wordpress ,Free,12952,163,1.0,1.26
Build Websites And Apps By Outsourcing,20,2299,11,2.0,0.48
Learning Path: Web Applications with Spring and Angular,200,19,2,4.0,10.53
Learn Ruby on Rails By Building Projects,60,1736,79,13.0,4.55
Canvas image Creator HTML5 JavaScript project from Scratch,100,2195,10,3.5,0.46
Javascript Essentials,Free,47062,5590,8.5,11.88
Devtools 2017: The Basics of Chrome Developer Tools,Free,4569,108,1.0,2.36
Chrome Extensions : Develop 5 chrome extensions from scratch,Free,3655,85,2.0,2.33
Learn how to quickly build websites using Wordpress,Free,15715,406,3.5,2.58
Advance Unix : File Processing: AWK | SED | GREP | CUT | VIM,75,578,40,5.5,6.92
Develop a Professional OnePage WordPress site With No Coding,20,1747,13,1.5,0.74
PHP Specialist (2017 Edition),100,197,11,3.5,5.58
Python Programming: Create an Digital Marketplace in Django,195,4198,145,26.0,3.45
Create Ajax Chat App with PHP & Mysql,45,540,11,1.0,2.04
Mastering Thymeleaf with Spring,75,942,161,4.5,17.09
Learn Rails Programming in Less than 2 Hours,35,2470,24,2.5,0.97
Wordpress Backup & Restore,95,478,37,1.5,7.74
Learn JavaScript Dynamic Interactive Projects for Beginners,100,2558,12,3.0,0.47
Build Modern Websites Super Fast,25,2178,22,1.5,1.01
SAP - Learn SAPUI5 Professional Development,195,860,201,7.0,23.37
Wordpress Security,95,2888,26,2.5,0.9
Learn HTML5 At Your Own Pace. Ideal for Beginners,50,3026,60,7.0,1.98
Build an Amazon clone: Nodejs + MongoDB + Stripe Payment,20,2164,290,8.5,13.4
Build Real World Websites from Scratch using HTML5 and CSS3,195,10874,114,7.5,1.05
How to become an App Developer,200,1935,17,1.0,0.88
"Modern JavaScript: Building Real-World, Real-Time Apps",50,1871,154,13.5,8.23
JavaScript Introduction to Object Oriented JavaScript,90,7789,59,1.5,0.76
Core HTML How to get online quickly HTML to HTML5 ,90,10394,33,3.5,0.32
Building Websites JavaScript and the DOM,120,17759,64,3.0,0.36
Complete Login and Registration System in PHP and MYSQL,200,4714,149,4.0,3.16
The Complete E-Commerce Web Developer Course 5.0,195,3209,58,12.5,1.81
HTML5 canvas Bootcamp for beginners 25 easy steps,120,14118,30,2.0,0.21
Advanced HTML5 Tutorial for Web Developers,50,11847,57,7.5,0.48
Learn the Basics of Programming for Marketers,55,11339,43,3.5,0.38
Css For Beginners,85,1156,13,2.5,1.12
GRUNT js: Automate web development tasks and save your time,55,1534,33,1.5,2.15
Mastering Web and Mobile Debugging Using Chrome Dev Tools,195,1102,12,2.0,1.09
HTML : Beginner Guide to HTML writing,20,783,20,37.0,2.55
Build Web Apps Using EmberJS: The Complete Course,40,627,126,4.5,20.1
SharePoint 2013 Development using C# - Part I,50,891,101,8.5,11.34
SAP Crystal Reports with ASP.Net (Step by step),Free,7484,304,1.0,4.06
Building Responsive Data Visualizations with D3 JS,85,876,59,2.0,6.74
Learn Rails Programming in Less than 30 Minute - Lite,20,1235,25,38.0,2.02
SASS - Beginner Crash Course,25,1143,34,1.0,2.97
Angular 2 Fundamentals for Web Developers,40,450,61,6.0,13.56
Easily Learn Web Development With Drop & Drag: OptimizePress,20,1442,9,2.0,0.62
XML XSLT - Crash Course for Beginners,45,426,4,1.0,0.94
Create Your Own Successful Online School To Sell Courses,95,2814,14,2.0,0.5
Flask Tutorial Step by Step,Free,4645,171,2.0,3.68
Ruby on Rails a Beginners Guide ,Free,13130,346,6.5,2.64
Mastering Basic CSS Selectors.,Free,3933,23,3.0,0.58
Create a Website Similar to Facebook from Scratch!,25,2197,9,1.5,0.41
Comprehensive TypeScript,125,1318,78,4.5,5.92
"Essential HTML, CSS & HTML5 Training",50,1553,35,5.5,2.25
HTML 5 and CSS 3 - tricks and workarounds,80,2007,10,5.5,0.5
"How to Register a Domain, Set Up Hosting, and Edit Web Pages",45,1540,19,3.0,1.23
WordPress Plugins Treasure Chest,25,1655,10,3.0,0.6
Practical Understanding of PHP and MySQL,Free,12201,217,5.5,1.78
"AngularJS for Beginners, Single-Page Applications Made Easy",200,1284,46,1.5,3.58
Building a Social Network in PHP & MySQL From Scratch,50,869,125,14.0,14.38
XML DOM - Crash Course for Beginners,45,396,6,34.0,1.52
Create a Powerful Website with the Cool Bootstrap Framework,Free,7142,41,4.0,0.57
HTML5 and CSS3 -Start building beautiful websites,150,1414,14,2.5,0.99
Getting Started as a Web Developer,Free,9833,241,1.0,2.45
Learn Laravel: Create Your Web App Step-By-Step,45,604,47,4.0,7.78
Professional Web Scraping with Java,50,685,37,1.0,5.4
3D Programming with WebGL and Babylon.js for Beginners,200,549,49,2.0,8.93
Learn to make a colorful one page website,200,1220,16,34.0,1.31
WordPress Plugin Tutorial,40,1588,8,34.0,0.5
Introduction to HTML,Free,8371,212,1.5,2.53
Learn JavaScript From Scratch:Become Top Rated Web Developer,65,2570,17,5.0,0.66
"Installing Wordpress 4 - Installation, Registrars & Hosting",45,6117,188,2.5,3.07
Learn PHP Programming for Absolute Beginners,35,5368,78,2.0,1.45
WordPress for Beginners 2017 + Google AdSense Implementation,195,2225,14,6.5,0.63
JavaScript for beginners in 1 hour,95,2086,56,1.0,2.68
HTML5 and CSS for Beginner To Expert,20,1732,15,4.5,0.87
Become a Kick-Ass Web Developer: From Newbie to Pro,200,6751,44,48.5,0.65
Django Tutorial: Build Your First App Fast & Free! ,20,5228,180,2.5,3.44
Create a social network using PHP Mysqli HTML Css and JQuery,40,1477,17,6.0,1.15
PHP - Send and Receive Mobile Text Messages (SMS),50,1626,81,1.5,4.98
Complete PHP Course with OOP Start to Finish!,200,4529,54,2.0,1.19
Coding Made Easy: HTML & CSS For Beginners,40,3254,92,1.5,2.83
WordPress Security - The Ultimate Security Guide,60,2267,17,1.5,0.75
How to Make a Single Page Website for Freelancers & Agencies,Free,17463,283,1.5,1.62
Learn to Use jQuery UI Widgets,Free,23669,521,1.0,2.2
Learn to Create Responsive Layouts in 30 Minutes,Free,5301,174,30.0,3.28
Web Building Starter Pack. Html Css and JQuery Animations,30,1033,16,7.5,1.55
Getting Started with Angular 2+,Free,6909,401,2.0,5.8
Intro to PHP Web Application Development with Symfony,200,4040,72,1.5,1.78
Learn OAuth 2.0 - Theory and Hands On,145,546,69,3.0,12.64
Learning CSS3 - A Comprehensive Tutorial For Web Developers,50,2459,107,8.0,4.35
Professional WordPress Theme Development from Scratch,200,1284,173,25.5,13.47
PHP Zend Framework 1.11:Creating a CRUD Application,40,1122,5,35.0,0.45
Write quicker HTML5 and CSS 3; productivity hacks with emmet,Free,13016,286,1.5,2.2
The Ultimate jQuery Course,20,1098,15,2.5,1.37
Build an Advanced Single Page with Bootstrap & WordPress,95,481,75,6.0,15.59
Master all PHP ideas 2017 to build any project,50,376,19,3.0,5.05
A Beginner's Guide to the Meteor JavaScript Framework,50,898,132,2.0,14.7
Create an E-commerce website without any coding,20,1393,40,31.0,2.87
Learn To Build Apps Using Play Framework,40,434,69,5.5,15.9
Introducing Ionic 2,50,394,78,1.5,19.8
Learn Laravel with Database Migration & Seeding & Faker,20,263,14,1.0,5.32
Create a Client Network by Hosting WordPress Sites,35,1061,8,1.0,0.75
Introduction to PHP Slim Microframework,20,1312,19,1.0,1.45
ASP :basics for beginners,35,764,7,1.0,0.92
"WordPress Development With NodeJS, Gulp, Composer & More",25,289,30,4.0,10.38
Become PHP Facebook Developer: Password-Less Authentication,195,4001,8,4.0,0.2
How To Create Your Very First Website With HTML and CSS,100,5097,196,2.0,3.85
Learn JSON for beginners with JavaScript,200,3193,10,1.5,0.31
Ultimate guide to Social Media Web development integration ,200,11011,13,2.5,0.12
A Complete Laravel basics from beginner to expert,25,3492,61,1.5,1.75
JQuery Basics - Learn JQuery From Scratch,100,3559,24,1.0,0.67
Learn MeteorJS By Building 10 Real World Projects,50,2784,221,15.0,7.94
JavaScript Basics for Beginners Introduction to coding,150,5495,52,1.5,0.95
AngularJS Masterclass - Deep Dive & Understand AngularJS,100,2912,309,6.0,10.61
HTML5 for beginners,195,9687,59,5.0,0.61
All in one HTML CSS and JQuery,20,3444,35,3.0,1.02
Responsive Design with NEW Materialize,75,12629,88,1.5,0.7
Create a Responsive Business Website with WordPress,95,1659,73,5.5,4.4
PHP webservices,30,1305,25,34.0,1.92
JavaScript Promises: Applications in ES6 and AngularJS,75,651,52,2.5,7.99
Learn to build 20 websites and build 14 iOS9 apps with swift,40,1926,9,22.5,0.47
Professional CSS Flexbox,35,396,130,43.0,32.83
XML :basics for beginners,40,1062,12,39.0,1.13
How to create Paypal and Credit card Payment Buttons,65,578,6,1.0,1.04
Customizr - Learn WordPress with the ultimate creative theme,Free,4735,81,5.0,1.71
How To Create a Local Wordpress Environment,Free,4306,163,31.0,3.79
Fun and creative web engineering with Python and Web2py,Free,10917,319,2.0,2.92
WordPress for Beginners - Build Your First Website in 2017,100,1701,125,7.0,7.35
Learn to Make an Animated Image Gallery using HTML5,Free,11080,165,1.0,1.49
Projects in Foundation Framework - Learn By Building 10 Apps,50,636,33,10.0,5.19
Drupal for Beginners,30,1478,18,5.0,1.22
Laravel : CRUD Application Using AJAX In Laravel 5.3,20,362,19,1.0,5.25
Foundations of Front-End Web Development,Free,8337,300,20.5,3.6
Angular 2 - Superheroic Framework,20,702,21,3.0,2.99
Social Network Web Development,200,2698,29,8.0,1.07
For Free - Deploy Quickly Spring Boot on Heroku With MySQL,95,177,19,1.0,10.73
Building Web Applications with Spring MVC,85,714,48,3.0,6.72
"HTML5, CSS3 & Bootstrap - How to Create a Responsive Website",20,1062,20,3.5,1.88
HTML & CSS - Learn to build sleek websites ,55,1552,14,3.5,0.9
Master Angular 2 - The No Nonsense Course,25,102,27,2.5,26.47
Master ASP . NET 4 from scratch,50,613,135,16.0,22.02
CoffeeScript: The Good Parts—Write Better javaScript,50,2152,19,2.5,0.88
Mastering Magento,85,1063,101,3.5,9.5
Ultimate JavaScript Strings,Free,3142,117,37.0,3.72
Your Own Site in 45 Min: The Complete Wordpress Course,120,1566,29,4.0,1.85
Redirect Your Visitors By Country Easily -Wordpress Tutorial,20,2306,3,1.0,0.13
Learn Knockout JS Framework from GroundUp,40,633,104,5.0,16.43
Build Responsive Websites  in an Hour using Portalfin,Free,2859,42,44.0,1.47
Master Riot: Learn Riot.js from Scratch,125,299,75,3.5,25.08
Learn W3.CSS,50,1002,7,34.0,0.7
Learning Axure RP,75,631,103,4.5,16.32
"Complete guide to install Wordpress, PHP on Cloud,AWS or VPS",50,1386,17,3.0,1.23
"Kids Coding -Introduction to HTML, CSS and JavaScript",200,2355,143,7.0,6.07
Introduction to Voice Design with Amazon's Alexa,Free,6742,1036,41.0,15.37
How to Create a Social Network For a Niche-Related Community,100,1853,34,2.0,1.83
Webpack 1 & 2 - The Complete Guide,40,252,46,6.5,18.25
Star Rating Project AJAX with JSON response from PHP MySQL,120,1302,18,1.5,1.38
Wordpress for beginners :Build Websites Fast without Coding ,50,1658,72,5.0,4.34
ASP.Net MVC Quick Start,Free,15092,1234,5.5,8.18
Build a Chatbot integrated Website using Bootstrap 4,50,165,13,3.0,7.88
How To Create A WordPress Website Without Paying A Developer,20,4333,16,1.0,0.37
PSD to Bootstrap 3 for Beginners using HTML & CSS,20,976,93,2.5,9.53
Build Advanced Responsive Websites with Foundation 6 & SASS,200,1276,245,22.5,19.2
Learn Essential Javascript Fundamentals - Lite,20,1476,27,39.0,1.83
Learn HTML in 2 hours!,Free,5351,235,1.5,4.39
Laravel 4 try and enjoy php coding,20,2402,26,2.0,1.08
Wordpress Beginner Tutorial: Build Your First Website,Free,6402,104,1.5,1.62
Build Complex Express Sites with Redis and Socket IO,125,223,26,3.5,11.66
Building a ASP.NET MVC 5 Membership Website,95,654,86,25.5,13.15
Drupal Views: Introduction to Enhancing Your Drupal Website,105,1262,36,2.5,2.85
Bootstrap Bootcamp - Responsive web development- 8 projects,100,253,34,7.0,13.44
Self Advertise Using PowerPoint Twitter and Facebook on ios,20,1780,15,36.0,0.84
Learning Bootstrap 3 - Tutorial From Infinite Skills,50,1266,90,3.0,7.11
Practical Web Development: Make Websites Quickly And Easily,20,2389,7,2.0,0.29
"Learn animation using CSS3, Javascript and HTML5",40,1468,54,2.5,3.68
Creating Interactive HTML5 Video,25,838,13,2.0,1.55
Optimizing Wordpress for More Speed and Revenue,Free,2649,16,35.0,0.6
JavaScript project Learn to create a memory Game and more,95,6000,21,1.5,0.35
The Complete JavaScript Bootcamp,195,1839,91,5.0,4.95
JavaScript for Absolute Beginners,20,10689,394,2.0,3.69
Complete JavaScript Course for Beginners with Easy Examples,200,7449,91,4.0,1.22
Angular 2 Master Class with Alejandro Rangel,30,4157,206,9.5,4.96
Quick learning jQuery web development,150,3388,67,3.0,1.98
Google Blogger Course,60,1343,11,3.5,0.82
"Ajax in JavaScript and JQuery, with PHP - Creating Chat App",200,3399,85,1.5,2.5
PHP Tutorial: Learn PHP Basic Programming for Beginners,20,2510,21,1.5,0.84
Mastering Modern Web Development Using React,195,1537,8,2.5,0.52
"Full Stack JavaScript: Learn Backbone.js, Node.js & MongoDB",50,6134,93,2.0,1.52
The Essential Web Developer Course - Build 12 Websites,200,9355,390,16.5,4.17
Build Powerful Websites & Blogs using WordPress - No Coding,20,1024,14,3.0,1.37
Learn to Build Web Apps using UnderscoreJS : Code Like a Pro,40,325,37,3.5,11.38
Building Web Apps Using Flask and Neo4j,50,166,21,2.5,12.65
Learn Web Animation the Easy Way: An Intro to SVG and GSAP,50,203,33,3.0,16.26
Build Your Own Membership Website With Joomla,95,1134,9,1.5,0.79
Learn Spring Security 4 Basics - Hands On,95,216,28,2.0,12.96
Display and analyze GIS data on the web with Leaflet.js,100,25,4,12.5,16.0
How to Build a CMS with PHP,50,1096,33,1.0,3.01
Responsive Web Design with HTML5 and CSS3 - Introduction,35,770,65,8.0,8.44
Master Typescript : Learn Typescript from scratch,95,424,45,3.5,10.61
XSD :basics for beginners,35,755,0,42.0,0.0
Angularjs-WebApi2-EFCodeFirst Web App On 3-Tier Architecture,60,652,48,6.5,7.36
Css Positioning For Absolute Beginners: A Basic Introduction,65,4797,97,1.0,2.02
Creating User Authentication System in CodeIgniter,200,2783,9,1.5,0.32
How to easily Manage your WordPress Website,20,8462,50,2.0,0.59
Wordpress For Beginners: Create a Professional Website,200,5129,183,1.5,3.57
"Building a Portfolio in 90 minutes ( HTML, CSS, Js ) ",20,5272,111,2.0,2.11
Automate Web Development With Gulp JS,20,2784,425,3.5,15.27
Bootstrap 4 Responsive Web Design and Development,20,3086,17,7.5,0.55
Intro To HTML & CSS: Web Development For Beginners,20,6008,203,4.0,3.38
Become Exceptional in HTML and HTML5,20,16486,86,6.5,0.52
Become a Rockstar Web Developer - Learn By Coding,200,2076,125,11.0,6.02
Spring 4 Mastercourse: Covers Annotation & XML Configuration,200,1353,53,23.5,3.92
WordPress Plugin Development for 2017 - Build 14 Plugins,50,3770,108,7.0,2.86
Single Page Application of MVC 5 Using AngularJS,20,722,53,1.5,7.34
"Learn to Code in HTML5, CSS3, and JavaScript",20,1404,7,2.5,0.5
Web Application Development - Learn by Building 3 Web Apps,30,1688,16,1.5,0.95
Rails Ecommerce App with HTML Template from Themeforest,25,214,34,2.0,15.89
Writing CSS with {LESS} - Tutorial From Infinite Skills,50,788,21,2.0,2.66
Login and Registration from Scratch with PHP and MySQL,20,1128,77,2.0,6.83
Getting Started with Magento,85,608,88,3.5,14.47
Ruby on Rails Foundations,20,359,45,6.5,12.53
Core Concepts in HTML 5,75,1532,19,2.0,1.24
Learn Azure Cloud Step by Step,20,791,29,2.5,3.67
Learn Facebook Flux Architecture for Web Applications,40,395,26,6.5,6.58
"Create free, fast and secure static website",50,322,9,31.0,2.8
Object Orientation in PHP,20,151,40,5.0,26.49
Creating Custom Web Maps,50,208,48,2.0,23.08
Build A YouTube Downloader With C# And GitHub,20,385,39,2.5,10.13
Querying Microsoft SQL Server 2012 - (Exam No. 70-461),85,666,89,6.5,13.36
HTTP Clients with Laravel: Use and Consume Services and APIs,65,237,22,3.5,9.28
Modern E-Commerce Store In php & mysqli With Bootstrap,50,240,45,66.5,18.75
Simple And Easy: Wordpress For Beginners,Free,5014,196,3.0,3.91
Create Website from scratch in Urdu & Hindi,Free,3033,91,1.0,3.0
Advance Unix : File Processing: AWK | GREP | VIM,20,458,2,1.0,0.44
Introduction to Node.js Development,55,1779,48,1.0,2.7
Advance JavaScript for Coders: Learn OOP in JavaScript,40,334,41,11.5,12.28
Web Development With Google Maps,50,222,9,8.5,4.05
jQuery UI Ultimate:Design Amazing Interfaces Using jQuery UI,145,422,86,12.5,20.38
Learn Spring Security 4 Intermediate - Hands On,95,227,16,2.0,7.05
Learning Path: The Road to Elasticsearch,200,50,5,5.0,10.0
HTML/CSS Bootcamp,40,194,26,10.0,13.4
JavaScript High Performance,95,458,28,4.5,6.11
Node:js : Building Rest Apis with Sails.js,100,61,9,2.0,14.75
Fundamentals of Angular 2 Full Stack Design,95,314,43,6.5,13.69
Create Newsletter Subscription Form with PHP/AJAX in 40 Min,50,586,10,38.0,1.71
AppML :basics for beginners,30,770,0,38.0,0.0
How to manage your own VPS and create websites,120,735,16,1.5,2.18
Learn BuddyPress: Build A Social Network with WordPress,20,1299,15,1.0,1.15
HTML FOR BEGINNERS,20,791,8,1.0,1.01
XML XQuery - Crash Course for Beginners,45,426,4,1.0,0.94
Simplified Cross Browser Web Testing Using VirtualBox,20,796,3,1.0,0.38
JavaScript and jQuery Basics: Start The Journey,25,1316,22,5.0,1.67
How to Install WordPress From Scratch,Free,8415,56,1.0,0.67
CSS :basics for beginners,30,1085,8,32.0,0.74
"WordPress Development - Themes, Plugins & Single Page Apps",150,817,164,19.5,20.07
Learn Effective HTML in No Time!,40,1275,11,1.0,0.86
HTML5 Geolocation in Depth:Build 7 HTML5 Geolocation Apps,90,1526,72,6.5,4.72
Building a Search Engine in PHP & MySQL,Free,10110,379,2.5,3.75
create a search engine for your website!,20,1832,6,1.5,0.33
Learn basics of HTML in 30 Minutes,20,945,17,33.0,1.8
JavaScript from Scratch for Very Beginners,30,1272,31,5.0,2.44
Learn Web Development by Creating a Social Network,200,442,48,6.5,10.86
CSS Image filters - The modern web images color manipulation,Free,6315,53,1.5,0.84
Building Responsive Websites with Bootstrap 3 Framework,75,1322,14,3.0,1.06
Create a Membership Site with Wishlist Member & Wordpress,95,557,39,2.5,7.0
Convert HTML Websites into PHP: Learn by Doing in 40 Minutes,50,540,13,36.0,2.41
17 Complete JavaScript   projects explained step by step,185,327,26,9.5,7.95
Mastering Unix : AWK Commands,20,358,0,2.0,0.0
Cakephp:Creating a CRUD application,40,803,2,31.0,0.25
HTML and CSS: A Guide to Web Design,25,1557,13,14.0,0.83
Drupal 8 Site Building,Free,1942,23,4.5,1.18
Learn Bootstrap 4 The Most Popular HTML5 CSS3 & JS Framework,200,279,37,10.0,13.26
Essentials of Spring 5.0 for Developers,125,34,2,1.5,5.88
The Extreme Web Development Course - For Beginners,200,1420,62,5.5,4.37
JQuery DOM and Ajax Concept Explained for Beginners,35,1812,112,37.0,6.18
HTML Forms For Beginners: A Basic Introduction  ,45,2472,41,1.0,1.66
Ultimate JavaScript Objects,20,1525,43,2.5,2.82
The Complete Web Developer Course - Build 20 Websites,20,2650,61,15.5,2.3
"Simple Javascript: Learn by Doing, Beginners Welcome!",25,2753,10,2.0,0.36
"Learn HTML, CSS, and Ruby on Rails: Build Your First Blog",20,2985,40,1.5,1.34
Learn HTML5 Canvas for beginners,100,2360,12,3.5,0.51
Bootstrap 4 Beginners: Code a Responsive Landing Page,30,948,193,3.5,20.36
Build Wordpress CMS Clone with Laravel 5,150,392,81,8.5,20.66
XML DTD - Crash Course for Beginners,45,944,1,1.0,0.11
Beginner Photoshop to HTML5 and CSS3,Free,73110,1716,2.0,2.35
XPATH :basics for beginners,40,878,6,37.0,0.68
The Fastest Way to Create a Website Using Godaddy,30,1454,14,30.0,0.96
A how to guide in HTML,Free,7318,205,35.0,2.8
Building Better APIs with GraphQL,50,555,89,2.5,16.04
Learn Grunt with Examples: Automate Your Front End Workflow,20,496,113,1.0,22.78
Build A Stock Downloader With Visual Studio 2015 And C#,20,436,36,1.5,8.26
jQuery UI in Action: Build 5 jQuery UI Projects,150,382,28,15.5,7.33
Learn jQuery from Scratch - Master of JavaScript library,100,1040,14,2.0,1.35
How To Design A WordPress Website With No Coding At All,25,306,3,3.5,0.98
Learn and Build using Polymer,40,513,169,3.5,32.94
CSS Animations: Create Amazing Effects on Your Website,50,300,31,3.0,10.33
Using MODX CMS to Build Websites: A Beginner's Guide,45,901,36,2.0,4.0
